ID,Title,Authors (IDs),Authors (names),Base texts (IDs),Base texts (names)
92233,Mānameyodaya,86182,Nārāyaṇa,,
113790,Aaryatārā Śatanāmṣṭasataka,,,,
95433,Ābdamālikā,87684,Raṅgācārya of Kauśikagotra,,
105236,Abdaprabodha,,,,
92271,Abhāvādhikaraṇavāda,86189,Gadādhara Bhaṭṭācārya,,
93781,Abhāvapadārthakhaṇḍana,86595,Śivacandra,,
93812,Abhāvarahasya,86611,Uddhavasiṃha,,
93218,Abhāvavāda,86419,Dāmodara,,
94646,Abhāvavimarśa,87017,Dīpaka Hoṣa,,
89572,Abhayamātratattvasāra,85454,Gorakṣanātha,,
90168,Abhayapradānasāra,85613,Vedāntadeśika,,
95510,Abhedakārikā,87752,Siddhanātha,,
90307,Abhedakhaṇḍana,85637,Kumāra Vedānta Deśika,,
94132,Abhedakhaṇḍana,86739,Prativādibhayaṅkar Anantācārya,,
95140,Abhedamaṇḍana,87433,Kṛṣṇa Śāstrin,,
95248,Abhidhamma Sammohavinodinī,87523,Ñānakitti,,
89450,Abhidhammatthasaṅgaha,85413,Anuruddha,,
88339,Abhidhammāvatāra,85136,Buddhadatta,,
113083,Abhidhānacintāmaṇi,85489,Hemacandra,,
41887,Abhidhānakāmadhenu,,,,
42352,Abhidhānamañjarī,40970,Bhiṣagārya,,
42024,Abhidhānaratnamālā,,,,
109579,Abhidhānaratnamālā,109577,Bhaṭṭa Halāyudha,,
41771,Abhidhānaratnamālā ṭīkā,,,,
109044,Abhidhānaviveka,108972,Ratnadhara,,
88034,Abhidharmahṛdaya,85086,Dharmaśrī,,
88240,Abhidharmakośa and Bhāṣya thereon,85127,Vasubandhu,,
88067,Abhidharmāmṛta,85096,Ghoṣaka,,
88527,Abhidharma(pra)dīpa and Vibhāṣāprabhāvṛtti thereon,85181,Vimalamitra,,
95810,Abhidharmaprakaraṇabhāṣya,,,,
88229,Abhidharmasaṃgītiśāstra,85125,Asaṅga,,
88230,Abhidharmasamuccaya,85125,Asaṅga,,
95811,Abhidharmaskandhapadaśāstra,,,,
88358,Abhidharmāvatāra,85143,Skandhila,,
88933,Abhidhāvṛttamātṛkā,85283,Mukula,,
96246,Abhijñānaśakuntala,40377,Kālidāsa,,
97236,Abhijñānaśakuntalacarcā,,,96246,Abhijñānaśakuntala
96385,Abhijñānaśākuntalasañjīvanaṭippaṇa,41110,Ghanaśyāma,96246,Abhijñānaśakuntala
96247,Abhijñānaśakuntalaṭīkā,96241,Pūrṇasarasvatī,96246,Abhijñānaśakuntala
