"BN_GRETIL
displayName","BN cat.
(key)",GRETIL Path,GRETIL fn,GRETIL link,GRETIL link text,filesize (KB),partial,extract,"alt.
vers.","niche 
doc",note,Work,Alternative Work Names,Author(s),Alternative Author Names,Work ID,Author ID,,,Inexact Matching Work Suggestions,Inexact Matching Author Suggestions,Corroborated Inexact Work ID,Corroborated Inexact Author ID,Corroborated Work ID,Corroborated Author ID,Exact Matching Work Suggestions,Exact Matching Author Suggestions
Mammata: Kavyaprakasa,GK16,5_poetry/1_alam,mamkavpu,mamkavpu,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/1_alam/mamkavpu.htm,267.2,,,,,,Kāvyaprakaśa,,Maṃmaṭa,Mammaṭa,41242,40258,,,,,"[('Kāvyaprakāśa', '41242', '92%')]","[('Mammaṭa', '40258', '86%')]",,,,"[('Mammaṭa', '40258')]"
Mammata: Kavyaprakasa,GK16,5_poetry/1_alam,mamkpb_u,mamkpb_u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/1_alam/mamkpb_u.htm,233.1,,,,,,Kāvyaprakaśa,,Maṃmaṭa,Mammaṭa,41242,40258,,,,,"[('Kāvyaprakāśa', '41242', '92%')]","[('Mammaṭa', '40258', '86%')]",,,,"[('Mammaṭa', '40258')]"
Mammata: Kavyaprakasa,GK16,5_poetry/1_alam,mamkprku,mamkprku,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/1_alam/mamkprku.htm,17.8,,,y,,"different edition, different comm",Kāvyaprakaśa,,Maṃmaṭa,Mammaṭa,41242,40258,,,,,"[('Kāvyaprakāśa', '41242', '92%')]","[('Mammaṭa', '40258', '86%')]",,,,"[('Mammaṭa', '40258')]"
Bhavamisra: Bhavaprakasa,GS40,6_sastra/7_ayur,bhavpr_u,bhavpr_u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/7_ayur/bhavpr_u.htm,53.7,,,,,,Bhāvaprakāśa,,Bhāvamiśra,,41312,40352,,,,,,,41312,40352,,
Kalidasa: Kumarasambhava,GK19,5_poetry/2_kavya,kakumspu,kakumspu,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/kakumspu.htm,91.9,,,,,,Kumārasambhava,,Kālidāsa,,41324,40377,,,,,"[('Kumārasaṃbhava', '41324', '93%')]","[('Kālidāsa', '40377', '100%')]",,,,"[('Kālidāsa', '40377'), ('Kālidāsa', '112242')]"
Subandhu: Vasavadatta,GK19,5_poetry/2_kavya,suvasavu,suvasavu,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/suvasavu.htm,78.3,,,,,,Vāsavadattā,,Subandhu,,41327,108801,,,,,,,41327,108801,,
Mitramisra: Viramitrodaya,GSD36,6_sastra/4_dharma/smrti,mvir_sau,mvir_sau,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/4_dharma/smrti/mvir_sau.htm,566.2,,,,,,Vīramitrodaya: Samayaprakāśa,,Mitramiśra,,41387,40658,,,,,"[('Vīramitrodaya', '41387', '63%')]","[('Mitramiśra', '40658', '100%')]",,,,"[('Mitramiśra', '40658')]"
Narahari Pandita [Nrsimha]: Rajanighantu,GS40,6_sastra/7_ayur,rajnighu,rajnighu,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/7_ayur/rajnighu.htm,505.5,,,,,,Rājanighaṇṭu,"Nighaṇṭurāja, Abhidhānacūḍāmaṇi",Narahari,Nṛsiṃha,41414,40475,,,,,,,41414,40475,,
Agnivesa: Carakasamhita,GS40,6_sastra/7_ayur,caraka_u,caraka_u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/7_ayur/caraka_u.htm,381.9,,,,,,Carakasaṃhitā,,"Caraka, Agniveśa",,41458,"44727, 44728",,,,,,,41458,44727,,
Vagbhata: Astangahrdayasutra,GS40,6_sastra/7_ayur,vagaah_u,vagaah_u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/7_ayur/vagaah_u.htm,1170.6,,,,,,Aṣṭāṅgahṛdayasaṃhitā,Aṣṭāṅgahṛdayasūtra,Vāgbhaṭa,,41478,44699,,,,,"[('Aṣṭāṅgahṛdayasaṃhitā', '41478', '79%')]","[('Vāgbhaṭa', '44699', '100%')]",,,,"[('Vāgbhaṭa', '44699'), ('Vāgbhaṭa', '109060'), ('Vāgbhaṭa', '40839'), ('Vāgbhaṭa', '109058')]"
Kalidasa: Raghuvamsa,GK19,5_poetry/2_kavya,kragh_pu,kragh_pu,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/kragh_pu.htm,246.5,,,,,,Raghuvaṃśa,,Kālidāsa,,41500,40377,,,,,,,41500,40377,,
Kalidasa: Raghuvamsa,GK19,5_poetry/2_kavya,ragh1-6u,ragh1-6u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/ragh1-6u.htm,74.5,y,,y,y,"1–6 only, out of 15",Raghuvaṃśa,,Kālidāsa,,41500,40377,,,,,,,41500,40377,,
Amarasimha: Namalinganusasana [Amarakosa],GS25,6_sastra/2_lex,amark1pu,amark1pu,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/2_lex/amark1pu.htm,39.5,,,,,,Amarakośa,Nāmaliṅgānuśāsana,Amarasiṃha,,41506,109572,,,,,"[('Amarakośa', '41506', '100%')]","[('Amarasiṁha', '109572', '90%')]",,,"[('Amarakośa', '41506')]",
Amarasimha: Namalinganusasana [Amarakosa],GS25,6_sastra/2_lex,amark2_u,amark2_u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/2_lex/amark2_u.htm,98.2,y,,,,,Amarakośa,Nāmaliṅgānuśāsana,Amarasiṃha,,41506,109572,,,,,"[('Amarakośa', '41506', '100%')]","[('Amarasiṁha', '109572', '90%')]",,,"[('Amarakośa', '41506')]",
Amarasimha: Namalinganusasana [Amarakosa],GS25,6_sastra/2_lex,amark3_u,amark3_u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/2_lex/amark3_u.htm,68.3,y,,,,,Amarakośa,Nāmaliṅgānuśāsana,Amarasiṃha,,41506,109572,,,,,"[('Amarakośa', '41506', '100%')]","[('Amarasiṁha', '109572', '90%')]",,,"[('Amarakośa', '41506')]",
Panini: Astadhyayi,GS24,6_sastra/1_gram,panini_u,panini_u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/1_gram/panini_u.htm,152.8,,,,,,Aṣṭādhyāyī,,Pāṇini,,41541,40604,,,,,,,41541,40604,,
Panini: Astadhyayi,GS24,6_sastra/1_gram,paninipu,paninipu,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/1_gram/paninipu.htm,169,,,y,,,Aṣṭādhyāyī,,Pāṇini,,41541,40604,,,,,,,41541,40604,,
Patanjali: Vyakaranamahabhasya,GS24,6_sastra/1_gram,pmbhasuu,pmbhasuu,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/1_gram/pmbhasuu.htm,2628.2,,,,,,Mahābhāṣya,Vyākaraṇamahābhāṣya,Patañjali,,41543,40606,,,,,,,41543,40606,,
Jayaditya & Vamana: Kasikavrtti,GS24,6_sastra/1_gram,jvkasipu,jvkasipu,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/1_gram/jvkasipu.htm,2046.2,,,,,Vāmana 40607 also wrote!,Kāśikāvṛtti,,"Jayāditya, Vāmana",,41544,"40608, 40607",,,,,"[('Kāśikāvṛtti', '41544', '100%')]","[('Jayāditya', '40608', '69%')]",,,"[('Kāśikāvṛtti', '41544')]",
Nagesa [=Nagojibhatta]: Paribhasendusekhara,GS24,6_sastra/1_gram,paribhsu,paribhsu,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/1_gram/paribhsu.htm,148.1,,,,,,Paribhāṣenduśekhara,,Nāgeśa,"Nāgojibhaṭṭa, Nāgeśabhaṭṭa",41663,40667,,,,,"[('Paribhāṣenduśekhara', '41663', '100%')]","[('Nāgeśabhaṭṭa', '40667', '90%')]",,,"[('Paribhāṣenduśekhara', '41663')]",
Jagannatha Panditaraja: Rasagangadhara,GK16,5_poetry/1_alam,jgrasg1u,jgrasg1u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/1_alam/jgrasg1u.htm,147.9,,,,,,Rasagaṅgādhara,,Jagannātha Paṇḍitarāja,,41668,40709,,,,"[('Balajinnātha Paṇḍita', '87135', '76%'), ('Raghunātha Paṇḍita.', '101822', '73%'), ('Jagannātha Miśra', '86464', '63%')]",,,,,"[('Rasagaṅgādhara', '41668')]",
Vagbhata: Rasaratnasamuccaya,GS40,6_sastra/7_ayur,vrasrs_u,vrasrs_u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/7_ayur/vrasrs_u.htm,162.1,,y,,,,Rasaratnasamuccaya,,Vāgbhaṭa,,41893,40839,,,,,,,41893,40839,,
Vagbhata: Rasaratnasamuccaya,GS40,6_sastra/7_ayur,vrasrscu,vrasrscu,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/7_ayur/vrasrscu.htm,472.9,,,y,,with comms,Rasaratnasamuccaya,,Vāgbhaṭa,,41893,40839,,,,,,,41893,40839,,
Dhundhukanatha: Rasendracintamani,GS40,6_sastra/7_ayur,dhrasciu,dhrasciu,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/7_ayur/dhrasciu.htm,129.5,,,,,,Rasendracintāmaṇi,,Rāmacandra Guha,"Rāmacandra, Ḍhuṇḍhukanātha(?)",41899,40841,,,,"[('Lokanātha', '87466', '61%'), ('Lokanātha', '40383', '61%'), ('Ḍhuṇḍhirāja', '108234', '56%')]",,,,,"[('Rasendracintāmaṇi', '41899')]",
Govindbhagavatpada: Rasahrdayatantra,GS40,6_sastra/7_ayur,grasht_u,grasht_u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/7_ayur/grasht_u.htm,378.2,,,,,,Rasahṛdayatantra,,Govindabhagavatpāda,,41906,113311,,,,,"[('Rasahṛdayatantra', '41906', '100%')]","[('Govindabhagavatpādācārya', '113311', '88%')]",,,"[('Rasahṛdayatantra', '41906')]",
Ksemendra: Bharatamanjari,GK19,5_poetry/2_kavya,ksbhm07u,ksbhm07u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/ksbhm07u.htm,102.8,y,,,,,Bhāratamañjarī: 7. Droṇaparvan,Mahābhāratamañjarī,Kṣemendra,,41914,85469,,,"[('Mahābhārata Droṇaparva', '111493', '65%')]",,,,,,,"[('Kṣemendra', '85469')]"
Ksemendra: Bharatamanjari,GK19,5_poetry/2_kavya,ksbhm10u,ksbhm10u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/ksbhm10u.htm,14.4,y,,,,,Bhāratamañjarī: 10. Gadāparvan,Mahābhāratamañjarī,Kṣemendra,,41914,85469,,,,,,,,,,"[('Kṣemendra', '85469')]"
Ksemendra: Bharatamanjari,GK19,5_poetry/2_kavya,ksbhm11u,ksbhm11u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/ksbhm11u.htm,13.2,y,,,,,Bhāratamañjarī: 11. Sauptikaparvan,Mahābhāratamañjarī,Kṣemendra,,41914,85469,,,,,,,,,,"[('Kṣemendra', '85469')]"
Ksemendra: Bharatamanjari,GK19,5_poetry/2_kavya,ksbhm12u,ksbhm12u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/ksbhm12u.htm,11.7,y,,,,,Bhāratamañjarī: 12. Strīparvan,Mahābhāratamañjarī,Kṣemendra,,41914,85469,,,,,,,,,,"[('Kṣemendra', '85469')]"
Ksemendra: Bharatamanjari,GK19,5_poetry/2_kavya,ksbhm13u,ksbhm13u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/ksbhm13u.htm,239.5,y,,,,,Bhāratamañjarī: 13. Śāntiparvan,Mahābhāratamañjarī,Kṣemendra,,41914,85469,,,,,,,,,,"[('Kṣemendra', '85469')]"
Ksemendra: Bharatamanjari,GK19,5_poetry/2_kavya,ksbhm14u,ksbhm14u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/ksbhm14u.htm,27.6,y,,,,,Bhāratamañjarī: 14. Āśvamedhikaparvan,Mahābhāratamañjarī,Kṣemendra,,41914,85469,,,,,,,,,,"[('Kṣemendra', '85469')]"
Ksemendra: Bharatamanjari,GK19,5_poetry/2_kavya,ksbhm15u,ksbhm15u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/ksbhm15u.htm,8.8,y,,,,,Bhāratamañjarī: 15. Āśramavāsikaparvan,Mahābhāratamañjarī,Kṣemendra,,41914,85469,,,,,,,,,,"[('Kṣemendra', '85469')]"
Ksemendra: Bharatamanjari,GK19,5_poetry/2_kavya,ksbhm16u,ksbhm16u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/ksbhm16u.htm,9,y,,,,,Bhāratamañjarī: 16. Mausalaparvan,Mahābhāratamañjarī,Kṣemendra,,41914,85469,,,,,,,,,,"[('Kṣemendra', '85469')]"
Ksemendra: Bharatamanjari,GK19,5_poetry/2_kavya,ksbhm17u,ksbhm17u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/ksbhm17u.htm,4.2,y,,,,,Bhāratamañjarī: 17. Mahāprasthānikaparvan,Mahābhāratamañjarī,Kṣemendra,,41914,85469,,,,,,,,,,"[('Kṣemendra', '85469')]"
Ksemendra: Bharatamanjari,GK19,5_poetry/2_kavya,ksbhm18u,ksbhm18u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/ksbhm18u.htm,4.3,y,,,,,Bhāratamañjarī: 18. Svargaparvan,Mahābhāratamañjarī,Kṣemendra,,41914,85469,,,,,,,,,,"[('Kṣemendra', '85469')]"
Ksemendra: Bharatamanjari,GK19,5_poetry/2_kavya,ksbhm19u,ksbhm19u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/ksbhm19u.htm,213,y,,,,,Bhāratamañjarī: 19. Harivaṃśa,Mahābhāratamañjarī,Kṣemendra,,41914,85469,,,,,,,,,,"[('Kṣemendra', '85469')]"
Ksemendra: Bharatamanjari,GK19,5_poetry/2_kavya,ksbhm06u,ksbhm06u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/ksbhm06u.htm,64.9,,,,,parts 1–5 missing,Bhāratamañjarī: 6. Bhīṣmaparvan,Mahābhāratamañjarī,Kṣemendra,,41914,85469,,,,,,,,,,"[('Kṣemendra', '85469')]"
Ksemendra: Bharatamanjari,GK19,5_poetry/2_kavya,ksbhm08u,ksbhm08u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/ksbhm08u.htm,28,y,,,,,Bhāratamañjarī: 8. Karṇaparvan,Mahābhāratamañjarī,Kṣemendra,,41914,85469,,,,,,,,,,"[('Kṣemendra', '85469')]"
Ksemendra: Bharatamanjari,GK19,5_poetry/2_kavya,ksbhm09u,ksbhm09u,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/ksbhm09u.htm,9.1,y,,,,,Bhāratamañjarī: 9. Śalyaparvan,Mahābhāratamañjarī,Kṣemendra,,41914,85469,,,,,,,,,,"[('Kṣemendra', '85469')]"
Skanda-Purana: Revakhanda,GP12,3_purana,skprevku,skprevku,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/3_purana/skprevku.htm,868.4,,,,,"this is something completely different, ""present text is not to be found in any of the editions of the SkP"", confusing",Skanda-Purāṇa: Revākhaṇḍa,,,,41990,—,,,,,,,,,,
