Work,Alternative Work Names,Author(s),Alternative Author Names,xml filename,size (kbs),genre,transformed,note,GitHub link,GitHub link text,Website link,Website link text,Corroborated Work ID,Corroborated Author ID,Exact Matching Work Suggestions,Exact Matching Author Suggestions,Corroborated Inexact Work ID,Corroborated Inexact Author ID,,,,,Inexact Matching Work Suggestions,Inexact Matching Author Suggestions
Sarvāṅgasundara,,Arunadatta,,arunadatta-sarvangasundara,8791.5,Medicine,,,arunadatta-sarvangasundara,https://github.com/sarit/SARIT-corpus/blob/master/arunadatta-sarvangasundara.xml,arunadatta-sarvangasundara,https://sarit.indology.info/arunadatta-sarvangasundara.xml?view=div,41850,40833,,,"[('Sarvāṅgasundarī', '41850', '93%')]","[('Aruṇadatta', '40833', '90%')]",,,,,,
Aṣṭāṅgahṛdayasaṃhitā,,Vāgbhaṭa,,astangahrdayasamhita,2925.2,Medicine,,,astangahrdayasamhita,https://github.com/sarit/SARIT-corpus/blob/master/astangahrdayasamhita.xml,astangahrdayasamhita,https://sarit.indology.info/astangahrdayasamhita.xml?view=div,41478,44699,,,,,,,,,,
Aṣṭāṅgasaṅgraha,,Vṛddhavāgbhaṭa,,astangasangraha,2907.7,Medicine,,,astangasangraha,https://github.com/sarit/SARIT-corpus/blob/master/astangasangraha.xml,astangasangraha,https://sarit.indology.info/astangasangraha.xml?view=div,41945,44699,"[('Aṣṭāṅgasaṅgraha', '41945')]",,"[('Aṣṭāṅgasaṅgraha', '41945', '100%')]","[('Vāgbhaṭa', '44699', '73%')]",,,,,,
Aṣṭāvakragītā,Aṣṭāvakra,Aṣṭāvakra,Aṣṭāvakra Muni,astavakragita,66.9,Philosophy,,,astavakragita,https://github.com/sarit/SARIT-corpus/blob/master/astavakragita.xml,astavakragita,https://sarit.indology.info/astavakragita.xml?view=div,97355,97354,,,,,,,,,,
Buddhacarita,,Aśvaghoṣa,,asvaghosa-buddhacarita,281.1,Kāvya,,,asvaghosa-buddhacarita,https://github.com/sarit/SARIT-corpus/blob/master/asvaghosa-buddhacarita.xml,asvaghosa-buddhacarita,https://sarit.indology.info/asvaghosa-buddhacarita.xml?view=div,108935,108889,,,,,,,,,,
Avayavinirākaraṇa,,Aśoka,Paṇḍita Aśoka,avayavinirakarana,54.3,Philosophy,y,,avayavinirakarana,https://github.com/sarit/SARIT-corpus/blob/master/avayavinirakarana.xml,avayavinirakarana,https://sarit.indology.info/avayavinirakarana.xml?view=div,89131,85342,,,,,,,,,,
Āyurvedasūtram,,,,ayurvedasutram,75.6,Medicine,,,ayurvedasutram,https://github.com/sarit/SARIT-corpus/blob/master/ayurvedasutram.xml,ayurvedasutram,https://sarit.indology.info/ayurvedasutram.xml?view=div,42369,—,,,,,,,,,"[('Āyurvedasūtra', '42369', '86%'), ('Āyurvedaśāstra', '41852', '76%'), ('Āyurvedasūtrabhāṣya', '42136', '71%')]","[('Nārāyaṇa', '86182', '90%'), ('Nārāyaṇa', '41163', '90%'), ('Nārāyaṇa', '87548', '90%'), ('Nārāyaṇa', '87547', '90%'), ('Nārāyaṇa', '40744', '90%'), ('Nārāyaṇa', '112094', '90%'), ('Nārāyaṇa', '85695', '90%'), ('Nārāyaṇa', '40901', '90%'), ('Nārāyaṇa', '40763', '90%'), ('Raṅgācārya of Kauśikagotra', '87684', '90%'), ('Gadādhara Bhaṭṭācārya', '86189', '90%')]"
Kādambarī,,Bāṇa,,bana-kadambari,889.7,Kāvya,,,bana-kadambari,https://github.com/sarit/SARIT-corpus/blob/master/bana-kadambari.xml,,,109562,108814,,,,,,,,,,
Baṇḍimocana,,,,bandimocana,15.4,Devotion,,,bandimocana,https://github.com/sarit/SARIT-corpus/blob/master/bandimocana.xml,,,...,—,,,,,,,,,"[('Aghavimocana', '41717', '70%'), ('Viṣamocana', '42084', '67%'), ('Caṇḍikāśāpavimocana', '110891', '67%')]","[('Nārāyaṇa', '86182', '90%'), ('Nārāyaṇa', '41163', '90%'), ('Nārāyaṇa', '87548', '90%'), ('Nārāyaṇa', '87547', '90%'), ('Nārāyaṇa', '40744', '90%'), ('Nārāyaṇa', '112094', '90%'), ('Nārāyaṇa', '85695', '90%'), ('Nārāyaṇa', '40901', '90%'), ('Nārāyaṇa', '40763', '90%'), ('Raṅgācārya of Kauśikagotra', '87684', '90%'), ('Gadādhara Bhaṭṭācārya', '86189', '90%')]"
Vākyapadīya,,Bhartṛhari,,bhartrhari-vakyapadiya,361.5,Philosophy,,,bhartrhari-vakyapadiya,https://github.com/sarit/SARIT-corpus/blob/master/bhartrhari-vakyapadiya.xml,bhartrhari-vakyapadiya,https://sarit.indology.info/bhartrhari-vakyapadiya.xml?view=div,88354,40446,,,,,,,,,,
